X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,,,,,,,
-117.7163898,43.0886396,0,03.04 Land of the Owyhee,"Join us on a five-day odyssey down the wild Owyhee River and see stunning attractions like the monuments of Chalk Basin Montgomery Gorge, spectacularly eroded cliffs reminiscent of ancient Rome, and even the site of a nineteenth century shootout.",3,4,11/14/91,,,,,,,,
-121.8038884,42.4678285,0,03.05 Controlled Burning,Decades of Forest Service fire suppression have created dangerous levels of flammable undergrowth. Controlled burns are starting to be used more and more as a valuable tool in preventing future catastrophic forest fires.,3,5,11/21/91,,,,,,,,
-123.96426,45.4474492,0,03.05 Hang Gliders,"The wind has to be just right for hang glider pilots to fly, alone and with no motors or navigational gear. A hang gliding meet in Oceanside brings together a group of experienced pilots.",3,5,11/21/91,,,,,,,,
-118.709926,42.1018147,0,03.05 Pueblo Mountain Hike,"Starting near the town of Fields and ending in Denio Creek, the Field Guide crew joins some members of the Oregon Desert Trail Association for a grueling hike through the high desert of the Pueblo Mountains. Beautiful vistas and wild flowers abound on this four day hike through Oregon's rugged high desert country.",3,5,11/21/91,,,,,,,,
-123.9084193,45.9911361,0,03.06 Fish Replicas,"In Seaside, Ron Pittard creates amazingly lifelike replicas so anglers can have a trophy without taxidermy. In fact, many are trophies of fish that were caught and released.",3,6,11/28/91,,,,,,,,
-122.6166051,45.3526019,0,03.06 Radio Fish,"Salmon in the Willamette River are counted visually as they pass Willamette Falls on their way upstream to their spawning grounds. Scientists find that forty percent of those salmon don't make it all the way upstream. To find out why, they attach radio transmitters to a sampling of the salmon.",3,6,11/28/91,,,,,,,,
-119.8302107,42.4534412,0,03.06 Warner Sucker,"The Warner sucker is a small fish that lives only in the Warner Basin of southeastern Oregon. With its habitat drying up, the fish is struggling to survive. The introduction of non-native game fish in the 1970s added to the fish's troubles.",3,6,11/28/91,,,,,,,,
-123.0861609,44.5493963,0,03.07 Compost vs. Field Burning,"Annual burning works well to clear and sterilize fields after grass seed has been harvested. Unfortunately, it pumps tons of pollution into the air. A scientist thinks composting is the wave of the future.",3,7,1/23/92,,,,,,,,
,,,03.07 Elk Hunt/Study,"Join Mike Wisdom, a US Forest Service biologist as he explains this long-term comprehensive study of elk and deer set in the Blue Mountains near La Grande, Oregon. The study looks at the impact of cattle and rangeland, motorized traffic and roads and timber production on the health of elk and deer heards.",3,7,1/23/92,,,,,,,,
-122.057286,45.6668379,0,03.07 Indian Pits,"Among the alpine meadows of the Columbia River Gorge are clues to the Indian culture that flourished for thousands of years. In prehistoric times, residents left evidence of their culture, including strange rock shelters or pits in rockfalls.",3,7,1/23/92,,,,,,,,
-121.8203581,45.4894155,0,03.08 Lost Lake,"Lost Lake is a recreational spot at the foot of Mount Hood that is no longer a secret. The area is under pressure from overuse, timber cuts, and hotels moving into the area.",3,8,1/30/92,,,,,,,,
-118.8389679,43.2699447,0,03.08 Malheur Photo Essay 1,"A beautiful look at the scenery and wildlife of the Malheur National Wildlife Refuge, an oasis in the desert of southeastern Oregon. We hear the wind as well as bird calls as we look at photographs of beautiful cloud formations, a gorgeous sunset, and peaceful marshes that are home to such species as white pelican, red winged blackbird, and northern harrier.",3,8,1/30/92,,,,,,,,
-124.035601,44.6190027,0,03.08 Oyster Harvesting,"Demand for Oregon oysters outstrips supply. Scientists are hoping that the hardy, tasty suminoe oyster, from Japan, can give a boost to the oyster farming industry. The oysters are being studied at the Hatfield Marine Science Center and in the waters of Yaquina Bay.",3,8,1/30/92,,,,,,,,
-122.6699325,45.6202802,0,03.08 Salmon Fishing in Portland,"It's a day on the river, with a professional salmon fishing guide, looking for spring chinook. But instead of trees and mountains, the backdrop is bridges and skyscrapers, because the fish are biting in the Willamette near downtown Portland's Waterfront Park.",3,8,1/30/92,,,,,,,,
